id,company_name,company_address,company_phone,company_mail
1,Miboo,6 Lawn Lane,780-241-4959,hmellody0@intel.com
2,Einti,61644 Bunker Hill Avenue,415-368-0778,apaal1@dailymotion.com
3,Aivee,314 Forest Run Point,759-502-4772,jclaughton2@wikipedia.org
4,Topiczoom,32895 Maywood Crossing,202-811-0904,vfaircliffe3@pbs.org
5,Topiclounge,84909 Hazelcrest Road,996-548-2034,tsanham4@google.com
6,Avamm,769 Leroy Street,379-920-2964,lgadie5@ebay.com
7,Kazu,62 Sullivan Court,307-573-5880,hlaker6@hibu.com
8,Abata,026 Surrey Avenue,489-649-5038,ddullaghan7@51.la
9,Avaveo,91 Gateway Park,308-905-9738,dscholes8@mtv.com
10,Topicware,22 Pierstorff Parkway,747-896-0734,gwidger9@java.com
